PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
2015-10-22T09:31:04.000Z,".
@Nielsen
 Boss Shrugs Off 
@ComScore
/
@Rentrak
 Merger: 'Good for Them'Nielsen Boss Shrugs Off ComScore-Rentrak Merger: 'Good for Them'
CEO Mitch Barns notes the challenges facing his company's suddenly larger competitor
thewrap.com",,1,
2015-10-21T23:23:19.000Z,"Two Words: ARROGANT TWIT ... Oops, I meant TWEET. ""Nielsen Boss Shrugs Off ComScore-Rentrak Merger: ‘Good for Them’"" http://thewrap.com/nielsen-ceo-mitch-barns-comscore-rentrak-merger-q3-earnings-total-audience-measurement-wpp/…",,,
2015-10-21T20:12:11.000Z,Nielsen Boss Shrugs Off ComScore-Rentrak Merger: &#039;Good for Them&#039; - TheWrap #merger http://dragplus.com/post/id/32399135…,,,
2015-10-21T20:08:25.000Z,Media Industry Demonstrates Broad Support for the Announcement of a comScore and Rentrak Merger http://bit.ly/1Nod6iy,,,
2015-10-21T17:28:48.000Z,Nielsen Boss Shrugs Off ComScore-Rentrak Merger: 'Good for Them' http://fb.me/4smI0qLLh,,,1
2015-10-21T15:21:30.000Z,Will the comScore Rentrak merger mean better media measurement? | Comment | Research http://research-live.com/4014033.article?utm_source=google&utm_medium=email&utm_campaign=research-live.com…,,,
2015-10-21T15:08:53.000Z,Nielsen Boss Shrugs Off ComScore-Rentrak Merger: 'Good for Them' - TheWrap http://twib.in/l/abboLenbznb,,,
2015-10-21T15:00:59.000Z,Nielsen Boss Shrugs Off ComScore-Rentrak Merger: ‘Good for Them’ http://ow.ly/35UHSC,,,
2015-10-21T14:34:38.000Z,Nielsen Boss Shrugs Off ComScore-Rentrak Merger: ‘Good for Them’ http://dlvr.it/CW53rw #hollywood,,,
2015-10-21T14:21:55.000Z,Nielsen Boss Shrugs Off ComScore-Rentrak Merger: ‘Good for Them’ http://bit.ly/1W5q1gJ #Hollywood #news,,,
2015-10-21T14:18:31.000Z,".
@Nielsen
 Boss Shrugs Off 
@ComScore
/
@Rentrak
 Merger: 'Good for Them' http://goo.gl/EL6hXL",,,2
2015-10-20T18:49:31.000Z,"Replying to 
@CableKent@CableKent
 background: GroupM parent WPP backed Rentrak-comScore merger.",,,
2015-10-20T17:03:57.000Z,Will the comScore Rentrak merger mean better media measurement? | Comment | Research https://lnkd.in/e6FdvDf,,,
2015-10-20T14:21:36.000Z,".
@eXelate
’s Eugene Becker says competition is welcome re 
@comScore
 / 
@Rentrak
 merger (eXelate is a 
@Nielsen
 co.) #AdvancedAd #NYCTVWK",,,
2015-10-20T13:31:50.000Z,".
@comScore
 - 
@Rentrak
 merger ""gives hope that something interesting could happen."" - Travis Howe of Invision. #AdvancedAd",,4,1
2015-10-19T11:41:34.000Z,researchlive: .IPA_Updates Belinda Beeftink's thoughts on Rentrak comScore merger #mrx http://research-live.com/opinion/will-the-comscore-rentrak-merger-mean-better-media-measurement?/4014033.article…,,,
