PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
2016-01-28T23:48:41.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqoxAw3b8o.twitter…,,1,1
2016-01-28T23:46:15.000Z,Portland Business - Rentrak shareholders approve sale to comScore http://ow.ly/3aGKm7,,,
2016-01-28T23:44:56.000Z,#FittsList Rentrak shareholders approve sale to comScore http://ift.tt/1ZXio8Q Follow KevinFitts,,,
2016-01-28T23:41:07.000Z,Rentrak shareholders approve sale to comScore: Shareholders for media measuring companies Rentrak and Comscore have… http://m.tbnn.it/KLXfx2,,,
2016-01-28T23:41:06.000Z,Rentrak shareholders approve sale to comScore: Shareholders for media measuring companies Rentrak and Comscore have… http://m.tbnn.it/KLXfvq,,,
2016-01-28T23:41:06.000Z,Rentrak shareholders approve sale to comScore http://bit.ly/1PJbMeP #Portland #Oregon,,,
2016-01-28T23:28:17.000Z,"$RENT: Rentrak and ComScore (SCOR) shareholders approve merger, deal expected to close tomorrow http://bit.ly/1QI0R3X",,,
2016-01-28T23:18:13.000Z,"comScore, Rentrak Merger Approved By Shareholders - In separate meetings, the shareholders of comScore and Rent... http://ow.ly/3aGI95",,,
2016-01-28T23:07:18.000Z,"Replying to 
@gfulgoni“
@gfulgoni
: Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. http://yhoo.it/1Tqoz5m”. -Congrats !!!!!",,,
2016-01-28T23:00:46.000Z,comScore-Rentrak Merger Approved by Shareholders http://financialbuzz.com/comscore-rentrak-merger-approved-by-shareholders-395381…,,,
2016-01-28T22:50:38.000Z,RT GeoMktFan: RT geomarketing: RT gfulgoni: Big day! comScore & Rentrak merger okd by shareholders. Seems yesterda… http://yhoo.it/1Tqoz5m,,,
2016-01-28T22:36:11.000Z,RT geomarketing: RT gfulgoni: Big day! comScore & Rentrak merger okd by shareholders. Seems yesterday m_abraham & … http://yhoo.it/1Tqoz5m,,,
2016-01-28T22:32:04.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the shareholders of... http://bit.ly/1TqooXO",,,
2016-01-28T22:32:03.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the... http://bit.ly/1TqooXO 
@mp_joemandese",,5,2
2016-01-28T22:29:14.000Z,"Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. Seems yesterday 
@m_abraham
 & I started comScore 15 yrs ago http://yhoo.it/1Tqoz5m",1,7,7
2016-01-28T22:21:49.000Z,"comScore-Rentrak Merger Approved by Shareholders http://bit.ly/1PWm19O via 
@bcbeat",,,
2016-01-28T22:12:10.000Z,"RT 
@TVNewsCheck
: ComScore & Rentrak shareholders OK'd the companies' merger. Deal is expected to close tomorrow. http://shrd.by/EGZBNQ",,,
2016-01-28T22:11:34.000Z,ComScore & Rentrak shareholders OK'd the companies' merger. Deal is expected to close tomorrow. http://bit.ly/1ZX5pEd,,2,1
2016-01-28T22:09:49.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqRzK0DMI0.twitter…,,,
2016-01-28T22:08:57.000Z,comScore-Rentrak Merger Approved by Shareholders http://prn.to/1P0FpTk,,,
2016-01-28T21:54:36.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqNIHRZilA.twitter…,,,1
2016-01-28T21:54:01.000Z,"Rentrak, comScore shareholders vote to approve  merger http://multichannel.com/comscore-rentrak-merge/394173…",,,
2016-01-28T21:51:15.000Z,"Rentrak $RENT shareholders have voted to approve the merger with comScore $SCOR; deal is expected to close tomorrow, January 29, 2016",,,
2016-01-28T21:51:09.000Z,".
@comScore
-
@Rentrak
 Merger Approved by Shareholders: http://bit.ly/1PDDMKp",,4,
2016-01-28T21:49:25.000Z,RENTRAK ACQUIRES MOVIE ANALYTIC TOOLS PROVIDER HOLLYWOOD SOFTWARE http://manavigator.com/news/-rentrak-acquires-movie-analytic-tools-provider-hollywood-software…,,,
2016-01-28T21:49:21.000Z,"Shareholders approve 
@comScore
 / 
@Rentrak
 merger via 
@jlafayette
 http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqMZdtDrHo.twitter…",,,
2016-01-28T21:46:58.000Z,"comScore and Rentrak to Merge, Creating Leading Cross-Platform Measurement Company - comScore, Inc http://bit.ly/209c7fJ",,,1
2016-01-28T21:46:49.000Z,"comScore and Rentrak to Merge, Creating Leading Cross-Platform Measurement Company  - via 
@comScore
 http://bit.ly/209c2Zn",,,
2016-01-28T21:40:04.000Z,$RENT: RENTRAK CORP filed a form 8-K http://jivedata.com/filings/RENT/,,,
2016-01-28T21:36:36.000Z,"ComScore, Rentrak shareholders OK last merger votes; closing tomorrow http://seekingalpha.com/news/3063766-comscore-rentrak-shareholders-ok-last-merger-votes-closing-tomorrow?source=feed_f… $SCOR $RENT",,,
2016-01-28T21:32:17.000Z,"$RENT comScore-Rentrak Merger Approved by Shareholders
From our Stock News Alerts App",,,
2016-01-28T21:31:41.000Z,"$RENT New SEC Document(s) for Rentrak Corporation
From our Stock News Alerts App",,,
2016-01-28T21:23:21.000Z,"$SCOR comScore-Rentrak Merger Approved by Shareholders
From our Stock News Alerts App",,,
2016-01-28T21:09:26.000Z,Rentrak Acquires Movie Analytic Tools Provider Hollywood Software http://manavigator.com/news/rentrak-acquires-movie-analytic-tools-provider-hollywood-software…,,,
2016-01-28T19:39:01.000Z,Rentrak’s Livek Relishes Advanced TV Targeting With comScore | http://Beet.TV https://lnkd.in/eKAg6Us,,,
2016-01-28T19:14:12.000Z,"@Rentrak
 looks fraud should not tell the box office, almost empty rooms and sold-out http://cinema.uol.com.br/noticias/redacao/2016/01/28/os-dez-mandamentos-estreia-com-lugares-vagos-em-sessoes-esgotadas.htm…",,,
2016-01-28T18:59:55.000Z,Rentrak Acquires Hollywood Software:  http://bit.ly/1PVTcKD,,,
2016-01-28T18:06:29.000Z,.Rentrak's Bill Livek &amp;  r2rothenberg discuss cracking the code of cross-platform measurement to wrap up #IABALM  Vía iab,,,
2016-01-28T15:05:52.000Z,".
@comScore
 and 
@Rentrak
 shareholders voting on merger today",,,
2016-01-28T10:36:04.000Z,New post: Rentrak acquires Hollywood Software http://phheights.wpengine.com/rentrak-acquires-hollywood-software/…,,,
2016-01-28T10:14:21.000Z,Rentrak Co. $RENT Stock Price Down 8.2% http://ift.tt/1Sl1Bff,,,
2016-01-28T10:12:18.000Z,Rentrak Co. $RENT Stock Price Down 8.2% http://ift.tt/1Sl1Bff,,,
2016-01-28T10:03:36.000Z,Rentrak to host special shareholder meeting http://dlvr.it/KLF1cY,,,
2016-01-28T10:03:10.000Z,Rentrak to host special shareholder meeting http://ift.tt/1KGSuPy See the rest of the story http://here.Theflyonthewall.com provides the latest…,,,
